Nome Parametro,GUID Parametro,Status
PST_MUR_I_AltezzaFinituraMuro,1552c6c5-4489-4bef-bc0a-4cc69b6d2665,0
PST_MUR_I_AltezzaMassima,911423a2-d915-407b-a6fa-6c1accfa667e,0
PST_POR_I_UscitaDiEmergenza,75dded97-1a8a-485d-bd70-368b000b0a1f,0
PST_POR_T_AccessorioPorta,3e6c5bdd-0b10-4bc7-b748-f5c76acb5305,0
PST_POR_T_AltezzaHardwareEsterno,e3a7f4d7-1d8b-402f-a40a-3399512b7f42,0
PST_POR_T_AltezzaHardwareInterno,88924e03-a299-4aff-89ed-25cfff0721dc,0
PST_POR_T_AperturaMotorizzata,44c8a955-b3f4-4980-af3f-c714fdb21f3c,0
PST_POR_T_AperturaMotorizzataAriaPorta,d7dda86d-f863-4370-a94f-88bf65a9851c,0
PST_POR_T_CilindroElettronico,e3c44364-dd46-442c-b338-b6fa56688128,0
PST_POR_T_ClasseAntieffrazione,2a7bf794-a81a-41b3-8f18-838c96d2ae33,0
PST_POR_T_DimensioniForoMuroPorta,6a8448d8-4d3d-4352-ae45-25b48e43dc7d,0
PST_POR_T_DistanzaHardwareEsterno,8bff56b6-2ea5-4881-94d7-f46a8fa48edd,0
PST_POR_T_DistanzaHardwareInterno,20675d93-cf0e-4175-a467-ea9bcea4c730,0
PST_POR_T_FattoreSolare,ee06e888-6961-4ed0-9af8-72eb9c643e7e,0
PST_POR_T_FermaportaElettromagnetico,346daf22-0128-4b58-9e29-c3c5fc92e6ba,0
PST_POR_T_PresenzaBadge,bbc49a20-17ea-433f-bbc3-d23185cfd9d9,0
PST_POR_T_ManigliaEsterna,edced77c-d493-440c-9b96-146ea43fcef9,0
PST_POR_T_ManigliaInterna,10bb302d-1d4a-451b-816e-adb673b6ab95,0
PST_POR_T_ManiglioneAntipanico,0fc102c1-94f4-4e29-9f46-1fb77435c003,0
PST_POR_T_ManiglioneASpinta,3bcf3993-69af-4ca6-a448-b0a8ba3eb667,0
PST_POR_T_PstrikeMagnetico,41eab9d0-5797-4ced-ba00-fb503bff0ac8,0
PST_POR_T_ResistenzaAcqua,15d996d4-2c7c-4390-8bc8-ce0554932954,0
PST_POR_T_SerraturaElettrica,21431363-059f-4e94-9f74-04e6a546f880,0
PST_POR_T_SpessorePannello,9601442b-7e7c-4113-8951-9db093c3756e,0
PST_POR_T_TipoApertura,08adb6a0-c9e0-4632-b1fb-fa3cfeb81903,0
PST_FIN_T_DimensioniForoMuroFinestra,63ff0153-5fdc-4a3e-a45a-c0a80d95fc50,0
PST_MUR_T_CodiceFinitura,e684c671-1ef3-49d0-851a-9069b7cae69d,0
PDM_GEN_T_Altezza,dfb01d9d-1467-4063-b151-575df4f1cc5b,0
PDM_CVE_T_AltezzaExtracorsa,cd213523-51c3-468a-97e7-df27a6608c98,0
PDM_CVE_T_AltezzaPortaAscensore,11849465-9532-469e-aba8-960dd81946f2,0
PDM_GEN_T_Diametro,85229b4a-59a2-4d45-bdf0-a7dff1f3a12a,0
PDM_MEP_T_DiametroEsterno,e2d79a0b-4d6e-4e54-9d4d-cbeea8d1589c,0
PDM_MEP_T_DiametroInterno,55350f1b-290e-4669-b556-3604e05dc23d,0
PDM_GEN_T_Larghezza,fb2424c5-8342-4ed2-be56-7bdd0b54dc7c,0
PDM_CVE_T_LarghezzaCabinaAscensore,7619669d-3666-4e9d-9f42-a599181ab9e4,0
PDM_CVE_T_LarghezzaPortaAscensore,634334cb-e077-4b16-a462-b631452fd9ef,0
PDM_GEN_T_Lunghezza,8b60d971-9a3c-4928-8ac5-5e8a3e66a200,0
PDM_GEN_T_Profondita,041fb5e0-b27a-40f4-986c-e2d7fb38ccac,0
PDM_CVE_T_ProfonditaCabinaAscensore,e5c556f7-90a6-4609-bde1-482791c2c22e,0
PDM_GEN_T_Spessore,56d4c17d-cc01-4744-8d8b-3f516e2a67c9,0
PDM_LOC_I_Area,8f66cffe-39f6-46eb-b19e-674945bf7384,0
PDM_GEN_T_Peso,1244bb3c-c494-4683-bbd7-c73d6c429b1d,0
PDM_GEN_I_SuperficieEsterna,761a9687-d240-4f3e-b92d-b31aa32c8d66,0
PST_ANE_T_ConducibilitaTermica,6faa4e94-124a-4093-a95b-ff22773f83cb,0
PST_ANE_T_Consumo,321f16ed-62e2-4681-b64c-a018516be42a,0
PST_ANE_T_Cop,41d2e2b2-2d60-405c-ae43-e6f247c34b70,0
PST_ANE_T_DispersioneTermica,f1402b89-8c39-428a-9439-3a031bf29828,0
PST_ANE_T_RapportoEer,1fc91b42-357b-4e87-b1c5-196b973c14af,0
PST_ANE_T_ResistenzaTermica,af3d4376-b1e3-40df-bc17-20f903fa546c,0
PST_ANE_T_Scop,2e4be94f-271c-4279-afac-355912eed97f,0
PST_ANE_T_Seer,2781600a-d7f7-41d6-83e1-970c62cb00a6,0
PST_ANE_T_Trasmittanza,4f9757a0-37f1-4328-b06d-9ffaa1add8c0,0
PST_CVE_T_CapienzaAscensore,bba4ef20-c342-4b57-9883-94aba9bb70bc,0
PST_ELE_I_CategoriaPrestazionale,eba87b89-0483-431c-9519-f01606dd14c9,0
PST_ELE_I_CorrenteNominale,c694130a-2572-4b30-9b7c-1b2ac8505a21,0
PST_ELE_I_CorrenteNominaleBarratura,8ce76c9a-0b55-406d-9a0e-11079afae42a,0
PST_ELE_I_PortataDiCorrente,b502e429-0f8b-427a-8ce2-7368a8bebbb7,0
PST_ELE_I_PotereInterruzioneIcc,1fa69471-20e0-4439-95fd-bc4932cdda46,0
PST_ELE_I_SistemaDiAlimentazione,94e97ded-1811-4863-8ecf-0db5e00f6841,0
PST_ELE_I_TipoDiComando,7e51abaf-e4fb-4051-bdb3-2614479d5a02,0
PST_ELE_I_TipoDiComponente,9e1a0730-306e-493a-9ea2-c521e92dcf97,0
PST_ELE_I_TipoDiControllo,4bff705c-dbfe-468d-bb33-8806563fb8c9,0
PST_ELE_I_TipoDiPosa,2a0e9a56-572c-4294-9fe8-fa1777651c2c,0
PST_ELE_I_TipologiaDiSistema,071dba41-c139-4028-880d-6bcb645a8fd2,0
PST_ELE_T_AlimentazioneElettrica,70234f61-2082-453b-a5e6-b43414d0dcfd,0
PST_ELE_T_CorrenteImp,28098db6-1c76-49e4-84ce-bc5ffb116fec,0
PST_ELE_T_CorrenteIsc,73364b6f-1441-46c0-87b9-84161eb6e45d,0
PST_ELE_T_EfficienzaModulo,14f87d60-86dd-4bd7-ae28-8d831a0f7edc,0
PST_ELE_T_FormaCostruttiva,bde6256d-135f-497f-99c3-aa6bf041cf30,0
PST_ELE_T_FrequenzaCircuito,25004a2f-f51f-4142-a4da-2690beb6124f,0
PST_ELE_T_GradoDiProtezioneIp,7faa6c28-dc2b-4cf5-a0fb-6de0a15b4d2c,0
PST_ELE_T_NumeroPoli,070ab146-d95e-410e-a7d0-9b7f72da1c62,0
PST_ELE_T_PotenzaAssorbita,e17bf031-b572-45d5-b995-247e990d892d,0
PST_ELE_T_PotenzaNominale,51d00991-846e-4671-bea3-70e619f844d2,0
PST_ELE_T_PotenzaOperativa,560432f4-0641-4eb6-977f-8f6f35abaa54,0
PST_ELE_T_ResistenzaElettrica,40a36eb4-9b0e-4843-a3df-8c7a7cd4b380,0
PST_ELE_T_TensioneIsolamento,ffff411c-d82f-80fb-a45f-eb23d1953d71,0
PST_ELE_T_TensioneNominale,5b2f6b18-7147-44bd-8e87-c9c9d6774e59,0
PST_ELE_T_TipoBatterie,a3d490d2-85db-48ff-a017-1ccafcd8b462,0
PST_ELE_T_TipoConnettore,743b4b28-e40f-44e3-86ce-85b462202730,0
PST_ELE_T_TipoDiComponente,d432c9f5-b57c-464a-a223-a30c11d89c91,0
PST_ELE_T_TipoDiInstallazione,ae2954f9-9f5a-4e0c-8f8c-b9467c9c5419,0
PST_ELE_T_TipoDiSupporto,b19cb6e3-1428-4463-b063-23ced2f98292,0
PST_ELE_T_TipoTelecamera,ba06d68c-fd0e-4eab-bf47-7961f0f22991,0
PST_ELE_T_VoltaggioVcc,69a20b8f-be9f-4506-8366-83f6aced7b20,0
PST_ELE_T_VoltaggioVmp,c012da4b-e470-424d-a151-63578751e9c2,0
PST_EST_T_FattoreKSprinkler,0511e70d-af15-4cb3-b815-916a1e5f668d,0
PST_EST_T_Gittata,346eb65d-c9e2-411c-b56d-dd5155b82dbf,0
PST_EST_T_TempoDiScarica,2b4c3932-602a-47c8-bc7f-92534a4ecbe7,0
PST_GEN_I_TipoCoibentazione,85137a52-a8c1-4ac1-a249-4e6c62999f18,0
PST_GEN_T_IsolamentoAcustico,dc6533e4-bcc4-4e09-ba51-7f6f122aee28,0
PST_GEN_T_PotenzaSonora,ffff411c-d82f-807c-a56e-f2d0b81080ab,0
PST_GEN_T_ResistenzaFuoco,f0571379-3b47-4f74-bb9b-5df3c70dd6ae,0
PST_GEN_T_ResistenzaUrto,3f6fbc20-9c1a-4adc-8b1d-29aef7fe776e,0
PST_GEN_T_ResistenzaVento,8c933826-2057-49d6-8e39-bb21fbf05be6,0
PST_GEN_T_TipoIsolamento,661def80-3801-449c-a1d7-394a3854e5d9,0
PST_GEN_T_Velocita,3b1e3c0b-aacb-43d9-ab2c-9206ed9700bc,0
PST_ILL_I_ColoreLuce,9a2bb6fc-82e4-4677-830c-c18c832f7bc4,0
PST_ILL_I_SistemaDiRegolazione,bf9daf11-9358-40eb-b453-53b7b3e59095,0
PST_ILL_I_TemperaturaColore,e401cb66-0622-4785-b317-bcbf1bd69a99,0
PST_ILL_I_TipoDiOttica,ca89ec8a-687b-40f2-b4ee-ad372cc68135,0
PST_ILL_T_AutonomiaBatterie,6a5c469c-c4b3-4973-b424-6376a2bcd18e,0
PST_ILL_T_FlussoLuminoso,6f4a9c86-041b-424c-b47d-7f307a67cea9,0
PST_ILL_T_TipoDiAlimentazione,3f760fae-1c88-4548-aa8c-b95d7998097f,0
PST_MAT_I_FinituraCoibentazione,b9387d55-3318-40ed-8d0e-ed90ec77c6f7,0
PST_MAT_T_AssorbimentoAcqua,793e29e9-76bf-4b99-a1d4-93a814226f27,0
PST_MAT_T_ClasseAcciaio,e85440d6-14ef-48c2-aab4-fb149ff93ed5,0
PST_MAT_T_ClasseDiConsistenza,14a1893d-0aa7-453c-b478-9464d218a7c9,0
PST_MAT_T_ClasseDiEsposizione,327c8a29-9684-4004-8af0-ab518efdd8f7,0
PST_MAT_T_ClasseDiResistenza,b8bea6fd-b13c-4821-aee5-c8545d889ac4,0
PST_MAT_T_MaterialeTelaio,52dd0230-40fe-4ef6-b860-e109f6e21d3e,0
PST_MAT_T_MinimoContenutoCemento,d80847b8-c82a-436d-9c5d-54b4a004e4a1,0
PST_MAT_T_RapportoAcquaCemento,e37c3843-54a4-4e80-a7c1-4b104ebe5d94,0
