Nome File,Verifica,Dimensione,Stato
12_CSV_Nomenclatura Livelli.csv,Lunghezza nome file non conforme.,143.000 B,0
Database_StrutturaNomenclaturaCaricabile.csv,Lunghezza nome file non conforme.,152.000 B,0
