In/Out,ID,Raggruppamento,Descrizione,Formato,Percentuale
X,11,Georeferenziazione e Orientamento,Il sistema di coordinate è georeferenziato in longitudine e latitudine coerentemente con il sistema condivido,Nativo + ifc,0%
X,12,Georeferenziazione e Orientamento,I modelli disciplinari sono posizionati alla corretta quota altimetrica,Nativo + ifc,0%
X,13,Georeferenziazione e Orientamento,Il modello condivide il medesimo sistema di coordinate e si posiziona coerentemente rispetto al file URS,Nativo + ifc,0%
X,14,Georeferenziazione e Orientamento,Il Nord Reale è correttamente impostato,Nativo + ifc,0%
