Nome Elemento,ID Elemento,Categoria,Fase,Stato
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238692,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238699,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238728,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238736,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1238767,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238775,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238781,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238788,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1238795,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1241916,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241922,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241929,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241953,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1241960,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1241989,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1241997,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242028,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242036,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242042,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242049,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242056,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242798,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242804,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242811,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242835,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242842,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242871,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242879,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1242910,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242918,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242924,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242931,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1242938,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243402,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243408,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243415,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243439,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243446,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243475,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243483,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1243514,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243522,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243528,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243535,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1243542,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244161,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244167,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244174,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244198,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244205,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244234,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244242,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1244273,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244281,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244287,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244294,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1244301,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1247511,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247517,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247524,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247548,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247555,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1247584,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1247592,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1247623,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247631,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247637,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247644,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247651,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1247840,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1247921,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1247952,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247960,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247966,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247973,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1247980,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254415,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254421,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254428,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254452,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254459,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254488,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254496,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254527,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254535,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254541,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254548,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254555,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254595,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254601,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254608,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254632,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254639,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254668,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254676,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254707,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254715,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254721,Pavimenti,ScanToBIM_Luglio24,1
