In/out,ID,Raggruppamento,Descrizione,Modalità,Formato,Percentuale,Stato
X,1,ACDat,Verifica e gestione dei file caricati in ACDat,MANU,nativo + ifc,0%,0
X,2,ACDat,Verifica che i nomi dei file rispettano le indicazioni del pGI,MANU,nativo + ifc,0%,0
